Year,Contract Number,Contract Type,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Summary Score,SNP,Sanction Deduction
2012,H7179,MA-PD,Local CCP,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",Arcadian Community Care,Arcadian Management Services Inc.,2.5,Yes,No
2012,H7187,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,No,No
2012,H7188,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,No,No
2012,H7200,MA-PD,Local CCP,"AMERIGROUP TENNESSEE, INC.",Amerigroup,"WellPoint, Inc.",2.5,Yes,No
2012,H7220,MA-PD,Local CCP,"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health Plans - Medicare,Indiana University Health,3.5,N/A,No
2012,H7281,MA-PD,Local CCP,"BRAVO HEALTH PENNSYLVANIA, INC.",Bravo Health,"HealthSpring, Inc.",2.5,Yes,No
2012,H7292,MA-PD,Local CCP,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),Alameda Alliance for Health,Alameda Alliance for Health,3.5,Yes,No
2012,H7301,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Coventry Health Care of Illinois, Inc.",Aetna Inc.,3.5,N/A,No
2012,H7306,MA-PD,Local CCP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Coventry Health Care,Aetna Inc.,2,No,No
2012,H7352,MA-PD,Local CCP,"UNIVERSITY CARE ADVANTAGE, L.L.C",University Care Advantage,"UA Healthcare, Inc.",2.5,Yes,No
2012,H7475,MA-PD,Local CCP,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",4,Yes,No
2012,H7526,MA-PD,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,4,Yes,No
2012,H7678,MA-PD,Local CCP,"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc.,",2.5,Yes,No
2012,H7731,MA-PD,Local CCP,"MD CARE, INC.",MD Care Healthplan,"MD Care, Inc.",3,Yes,No
2012,H7787,MA-PD,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,2.5,N/A,No
2012,H7908,MA-PD,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,2.5,N/A,No
2012,H7917,MA-PD,Local CCP,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,2.5,No,No
2012,H7949,MA-PD,Local CCP,"PACIFICARE OF NEVADA, INC.",SecureHorizons by UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,N/A,No
2012,H8050,MA-PD,Local CCP,"CARILION CLINIC MEDICARE RESOURCES, LLC",Carilion Clinic Medicare Health Plan,"Carilion Services, Inc.",4,No,No
2012,H8091,MA-PD,Local CCP,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,Not enough data to calculate summary score,N/A,No
2012,H8098,MA-PD,PFFS,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"Universal Health Care Insurance Company, Inc.","Universal Health Care Group, Inc.",Not enough data to calculate summary score,N/A,No
2012,H8130,MA-PD,Local CCP,"MOLINA HEALTHCARE OF FLORIDA, INC.",Molina Healthcare of Florida,"Molina Healthcare, Inc.,",2.5,Yes,No
2012,H8145,MA-PD,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,Not enough data to calculate summary score,N/A,No
2012,H8189,MA-PD,Local CCP,"MANAGED HEALTH SERVICES, WISCONSIN",Advantage by Managed Health Services,Centene Corporation,Not enough data to calculate summary score,Yes,No
2012,H8393,MA-PD,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Aetna Inc.,3.5,N/A,No
2012,H8552,MA-PD,Local CCP,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY,Anthem Blue Cross Life and Health Insurance Co.,"WellPoint, Inc.",Plan too new to be measured,N/A,No
2012,H8558,MA-PD,Local CCP,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,Not enough data to calculate summary score,No,No
2012,H8578,MA-PD,Local CCP,"HEALTH NEW ENGLAND, INC.",HNE Medicare Advantage Plans,"Baystate Health, Inc.",4.5,N/A,No
2012,H8604,MA-PD,Local CCP,THP INSURANCE COMPANY,Health Plan SecureChoice,Health Plan of the Upper Ohio Valley,3.5,N/A,No
2012,H8644,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,No,No
2012,H8649,MA-PD,Local CCP,"ALTIUS HEALTH PLANS, INC.",Altius Health Plans,Aetna Inc.,3,N/A,No
2012,H8684,MA-PD,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,Not enough data to calculate summary score,N/A,No
2012,H8707,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,No,No
2012,H8748,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,No,No
2012,H8822,MA-PD,Local CCP,"ADVANTAGE HEALTH SOLUTIONS, INC.","ADVANTAGE Health Solutions, Inc.",Advantage Health Solutions,2.5,Yes,No
2012,H8953,MA-PD,Local CCP,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Inc.,3.5,Yes,No
2012,H8980,MA-PD,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Aetna Inc.,3.5,N/A,No
2012,H8991,MA-PD,Local CCP,"AMERIGROUP FLORIDA, INC.",Amerigroup,"WellPoint, Inc.",2.5,Yes,No
2012,H9001,MA-PD,Local CCP,FALLON COMMUNITY HEALTH PLAN,Fallon Senior Plan or NaviCare,Fallon Community Health Plan,4.5,Yes,No
2012,H9003,MA-PD,Local CCP,KAISER FOUNDATION HP OF THE N W,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,N/A,No
2012,H9011,MA-PD,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,Yes,No
2012,H9047,MA-PD,Local CCP,PROVIDENCE HEALTH PLAN,Providence Health Plans,Providence Health & Services,5,No,No
2012,H9082,MA-PD,Local CCP,"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare of New Mexico, Inc.","Molina Healthcare, Inc.,",2.5,No,No
2012,H9104,MA-PD,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,3.5,Yes,No
2012,H9184,MA-PD,Local CCP,"BRAVO HEALTH MID-ATLANTIC, INC.",Bravo Health,"HealthSpring, Inc.",3,N/A,No
2012,H9285,MA-PD,Local CCP,"ATLANTIS HEALTH PLAN, INC.",EASY CHOICE HEALTH PLAN OF NEW YORK,"America?s 1st Choice NY Holdings, LLC",Plan too new to be measured,N/A,No
2012,H9302,MA-PD,Local CCP,"SOUNDPATH HEALTH, INC.",Soundpath Health,"Soundpath Health, Inc.",3.5,N/A,No
2012,H9385,MA-PD,Local CCP,SCAN HEALTH PLAN ARIZONA,SCAN Health Plan Arizona,SCAN Health Plan,3,Yes,No
2012,H9503,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,N/A,No
2012,H9572,MA-PD,Local CCP,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,3.5,N/A,No
2012,H9615,MA-PD,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",4.5,N/A,No
2012,H9670,MA-PD,Local CCP,"UPMC HEALTH BENEFITS, INC.",UPMC Health Plan,University of Pittsburgh Medical Center,Not enough data to calculate summary score,N/A,No
2012,H9720,MA-PD,PFFS,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.",3,N/A,No
2012,H9847,MA-PD,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Aetna Inc.,3,No,No
2012,H9859,MA-PD,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",4,N/A,No
2012,H9947,MA-PD,Local CCP,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",Blue Cross Blue Shield of Georgia,"WellPoint, Inc.",Plan too new to be measured,N/A,No
2012,H9988,MA-PD,Local CCP,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,Not enough data to calculate summary score,Yes,No
2012,R3175,MA-PD,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,Yes,No
2012,R3332,MA-PD,Regional CCP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Florida Blue,Blue Cross and Blue Shield of Florida,3,N/A,No
2012,R3444,MA-PD,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,"UnitedHealth Group, Inc.",3,Yes,No
2012,R5287,MA-PD,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,Yes,No
2012,R5342,MA-PD,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",3,Yes,No
2012,R5566,MA-PD,Regional CCP,"BCBS MN, MT, NE, ND, WY, WELLMARK IA AND SD",MedicareBlue PPO,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",4,N/A,No
2012,R5674,MA-PD,Regional CCP,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Sierra Health and Life Insurance Company, Inc.","UnitedHealth Group, Inc.",2.5,No,No
2012,R5826,MA-PD,Regional CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,No,No
2012,R5941,MA-PD,Regional CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2.5,N/A,No
2012,R6801,MA-PD,Regional CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",2.5,Yes,No
2012,R7439,MA-PD,Regional CCP,HAWAII MEDICAL SERVICE ASSOCIATION,Akamai Advantage by HMSA,Hawaii Medical Service Association,Not enough data to calculate summary score,N/A,No
2012,R7444,MA-PD,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,N/A,No
2012,R9896,MA-PD,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,"UnitedHealth Group, Inc.",2.5,Yes,No
2012,S0043,PDP,PDP,"PREFERRED MEDICARE CHOICE, INC.","Preferred Medicare Choice, Inc.","Aveta, LLC.",2.5,N/A,No
2012,S0197,PDP,PDP,CAMBRIDGE LIFE INSURANCE COMPANY,First Health Part D,Aetna Inc.,3.5,N/A,No
2012,S0223,PDP,PDP,HEALTH FIRST HEALTH PLANS,Health First Health Plans,Health First,Plan too new to be measured,N/A,No
2012,S0586,PDP,PDP,"MVP HEALTH PLAN, INC.",MVP Health Care,"MVP Health Care, Inc.",Not enough data to calculate summary score,N/A,No
2012,S0655,PDP,PDP,TUFTS INSURANCE COMPANY,Tufts Health Plan Medicare Preferred,"Tufts Associated HMO, Inc.",3.5,N/A,No
2012,S1030,PDP,PDP,"BCBS ALABAMA, BCBS TENNESSEE",BlueRx (PDP),BCBS OF AL & BCBS OF TN,2.5,N/A,No
2012,S1480,PDP,PDP,AULTCARE INSURANCE COMPANY,PrimeTime Prescription Drug Plan,Aultman Health Foundation,Plan too new to be measured,N/A,No
2012,S1822,PDP,PDP,"HEALTHPARTNERS, INC.",HealthPartners National PDP,"HealthPartners, Inc.",Not enough data to calculate summary score,N/A,No
2012,S2321,PDP,PDP,QCC INSURANCE COMPANY,AmeriHealth Rx PDP,Independence Blue Cross,3,N/A,No
2012,S2468,PDP,PDP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,4,N/A,No
2012,S2505,PDP,PDP,"WINDSOR HEALTH PLAN, INC.",Windsor Rx,Munich American Holding Corporation,2.5,N/A,No
2012,S2874,PDP,PDP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,2.5,N/A,No
2012,S2893,PDP,PDP,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Blue MedicareRx,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,3.5,N/A,No
2012,S3389,PDP,PDP,"UPMC HEALTH BENEFITS, INC.",UPMC Health Plan,University of Pittsburgh Medical Center,3.5,N/A,No
2012,S3440,PDP,PDP,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Alliance Medicare Rx,Henry Ford Health System,2.5,N/A,No
2012,S3521,PDP,PDP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",5,N/A,No
2012,S3994,PDP,PDP,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's Medicare Rx Plan,Hawaii Medical Service Association,5,N/A,No
2012,S4219,PDP,PDP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medicare Prescription Plan,Health Alliance Medical Plans,Not enough data to calculate summary score,N/A,No
2012,S4802,PDP,PDP,STERLING LIFE INSURANCE COMPANY,Windsor Rx,Munich American Holding Corporation,3,N/A,No
2012,S5540,PDP,PDP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,4,N/A,No
2012,S5552,PDP,PDP,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,3,N/A,No
2012,S5555,PDP,PDP,"MCS ADVANTAGE, INC.",MCS Classicare,"Medical Card System, Inc.",2.5,N/A,No
2012,S5569,PDP,PDP,CAMBRIDGE LIFE INSURANCE COMPANY,First Health Part D,Aetna Inc.,3.5,N/A,No
2012,S5580,PDP,PDP,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,First United American Life Insurance Company,Torchmark Corporation,3,N/A,No
2012,S5584,PDP,PDP,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,3,N/A,No
2012,S5588,PDP,PDP,PARAMOUNT INSURANCE COMPANY,Paramount Prescription Drug Plan,Promedica Health System,Not enough data to calculate summary score,N/A,No
2012,S5593,PDP,PDP,HM HEALTH INSURANCE COMPANY,HM Health Insurance Company,Highmark,4,N/A,No
2012,S5596,PDP,PDP,"ANTHEM INSURANCE COMPANIES, INC.",Blue MedicareRx,"WellPoint, Inc.",2.5,N/A,No
2012,S5601,PDP,PDP,SILVERSCRIPT INSURANCE COMPANY,SilverScript,CVS Caremark Corporation,3,N/A,No
2012,S5609,PDP,PDP,ASURIS NORTHWEST HEALTH,Asuris Northwest Health,"Cambia Health Solutions, Inc.",4,N/A,No
2012,S5617,PDP,PDP,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,Cigna Medicare Rx,CIGNA,2.5,N/A,No
2012,S5660,PDP,PDP,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,Express Scripts Medicare,Express Scripts Holding Company,4,N/A,No
2012,S5670,PDP,PDP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,First Health Part D,Aetna Inc.,3.5,N/A,No
2012,S5674,PDP,PDP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,First Health Part D,Aetna Inc.,3,N/A,No
2012,S5678,PDP,PDP,HEALTH NET LIFE INSURANCE COMPANY,Health Net,"Health Net, Inc.",3,N/A,No
2012,S5715,PDP,PDP,HCSC INSURANCE SERVICES COMPANY,"HISC - Blue Cross Blue Shield of IL, NM, OK, TX",Health Care Service Corporation,3.5,N/A,No
2012,S5726,PDP,PDP,BLUE CROSS AND BLUE SHIELD OF KANSAS,Blue MedicareRx,Blue Cross Blue Shield of Kansas,3,N/A,No
2012,S5743,PDP,PDP,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY",MedicareBlue Rx,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",5,N/A,No
2012,S5753,PDP,PDP,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,WPS Health Insurance,Wisconsin Physicians Service Ins Corporation.,4.5,N/A,No
2012,S5755,PDP,PDP,UNITED AMERICAN INSURANCE COMPANY,United American Insurance Company,Torchmark Corporation,2.5,N/A,No
2012,S5766,PDP,PDP,"FIRST CARE, INC.",Medi-CareFirst BlueCross BlueShield,"CareFirst, Inc.",4,N/A,No
2012,S5768,PDP,PDP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,First Health Part D,Aetna Inc.,2.5,N/A,No
2012,S5775,PDP,PDP,PHARMACY INSURANCE CORPORATION OF AMERICA,PICA,Pharmacy Insurance Corporation of America,2.5,N/A,No
2012,S5795,PDP,PDP,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,3,N/A,No
2012,S5803,PDP,PDP,PENNSYLVANIA LIFE INSURANCE COMPANY,Community CCRx PDP,CVS Caremark Corporation,3,N/A,No
2012,S5805,PDP,PDP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,N/A,No
2012,S5810,PDP,PDP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,2.5,N/A,No
2012,S5820,PDP,PDP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,N/A,No
2012,S5825,PDP,PDP,SILVERSCRIPT INSURANCE COMPANY,Community CCRx PDP,CVS Caremark Corporation,4,N/A,No
2012,S5840,PDP,PDP,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",2,N/A,No
2012,S5857,PDP,PDP,PRIORITY HEALTH INSURANCE COMPANY,Priority Health Medicare,Spectrum Health System,3.5,N/A,No
2012,S5877,PDP,PDP,EDUCATORS MUTUAL INSURANCE ASSOCIATION,EMI Health,Educators Mutual Insurance Association,3.5,N/A,No
2012,S5884,PDP,PDP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,N/A,No
2012,S5904,PDP,PDP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Florida Blue,Blue Cross and Blue Shield of Florida,3,N/A,No
2012,S5907,PDP,PDP,"TRIPLE-S SALUD, INC.","Triple-S Salud, Inc.",Triple-S Management Corporation,2.5,N/A,No
2012,S5916,PDP,PDP,REGENCE BLUESHIELD OF IDAHO AND REGENCE BC BS UTAH,Regence BlueShield of Idaho and Regence BCBS Utah,"Cambia Health Solutions, Inc.",3.5,N/A,No
2012,S5921,PDP,PDP,UNITEDHEALTHCARE INS. CO. AND UNITEDHEALTHCARE NY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,N/A,No
2012,S5932,PDP,PDP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,2.5,N/A,No
2012,S5937,PDP,PDP,LOUISIANA HEALTH SERVICE AND INDEMNITY COMPANY,Blue Cross and Blue Shield of Louisiana,BlueCross BlueShield of Louisiana,2.5,N/A,No
2012,S5953,PDP,PDP,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),2,N/A,No
2012,S5960,PDP,PDP,UNICARE LIFE & HEALTH INSURANCE COMPANY,UniCare,"WellPoint, Inc.",2,N/A,No
2012,S5966,PDP,PDP,GROUP HEALTH INCORPORATED,EmblemHealth Medicare PDP,"EmblemHealth, Inc.",3.5,N/A,No
2012,S5967,PDP,PDP,"WELLCARE PRESCRIPTION INSURANCE, INC.",WellCare,"WellCare Health Plans, Inc.",3.5,N/A,No
2012,S5975,PDP,PDP,"MODA HEALTH PLAN, INC.","MODA HEALTH PLAN, INC.","Health Services Group, Inc.",5,N/A,No
2012,S5983,PDP,PDP,MEDCO CONTAINMENT INSURANCE COMPANY OF NEW YORK,Express Scripts Medicare,Express Scripts Holding Company,3.5,N/A,No
2012,S5993,PDP,PDP,HORIZON HEALTHCARE SERVICES,"Horizon Blue Cross Blue Shield of New Jersey, Inc.","Horizon Healthcare Services, Inc.",3.5,N/A,No
2012,S5998,PDP,PDP,"BRAVO HEALTH INSURANCE COMPANY, INC.",Bravo Health,"HealthSpring, Inc.",2.5,N/A,No
2012,S6506,PDP,PDP,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC.",Blue Cross and Blue Shield of Arizona,Blue Cross Blue Shield of Arizona,Plan too new to be measured,N/A,No
2012,S6875,PDP,PDP,QCC INSURANCE COMPANY,Select Option,Independence Blue Cross,2.5,N/A,No
2012,S7694,PDP,PDP,ENVISION INSURANCE COMPANY,EnvisionRx Plus,"Envision Pharmaceutical Holdings, Inc.",2.5,N/A,No
2012,S7950,PDP,PDP,EXPRESS SCRIPTS INSURANCE CO.,Express Scripts Medicare,Express Scripts Holding Company,Not enough data to calculate summary score,N/A,No
2012,S8067,PDP,PDP,AVALON INSURANCE COMPANY,Avalon Insurance Company,Capital BlueCross,4,N/A,No
2012,S8841,PDP,PDP,"CATAMARAN INSURANCE OF OHIO, INC.","Catamaran Insurance of Ohio, Inc.",Catamaran Corporation,Not enough data to calculate summary score,N/A,No
2012,S9579,PDP,PDP,STONEBRIDGE LIFE INSURANCE COMPANY,Stonebridge Life Insurance Company,Aegon N.V.,Plan too new to be measured,N/A,No
2013,E0654,PDP,Employer/Union Only Direct Contract PDP,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,3.5,No,No
2013,E2332,PDP,Employer/Union Only Direct Contract PDP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,National Rural Electric Cooperative Association,4,No,No
2013,E2630,PDP,Employer/Union Only Direct Contract PDP,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C and O Employees Hospital Association,C & O Employees' Hospital Association,4,No,No
2013,E3014,PDP,Employer/Union Only Direct Contract PDP,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,4.5,No,No
2013,E4744,PDP,Employer/Union Only Direct Contract PDP,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Highways and Transportation Commission,4,No,No
2013,E6322,PDP,Employer/Union Only Direct Contract PDP,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,Kentucky Retirement Systems,3.5,No,No
2013,E7316,PDP,Employer/Union Only Direct Contract PDP,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad  Employes Health Systems,Union Pacific Railroad Employes Health Systems,3,No,No
2013,E7848,PDP,Employer/Union Only Direct Contract PDP,OMES EMPLOYEES GROUP INSURANCE DIVISION,HealthChoice,State of Oklahoma,3,No,No
2013,H0028,MA-PD,Local CCP,"CHA HMO, INC.","CHA HMO, Inc.",Humana Inc.,Plan too new to be measured,No,Plan too new to be measured
2013,H0084,MA-PD,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",2,Yes,No
2013,H0104,MA-PD,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Advantage (PPO),BlueCross BlueShield of Alabama,3,No,No
2013,H0108,MA-PD,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,3.5,Yes,No
2013,H0117,MA-PD,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",3,Yes,No
2013,H0141,MA-PD,Local CCP,"MCLAREN HEALTH PLAN, INC.",McLarenAdvantage,McLaren Health Care Corporation,2,Yes,No
2013,H0150,MA-PD,Local CCP,"HEALTHSPRING OF ALABAMA, INC.",Cigna-HealthSpring,CIGNA,2.5,Yes,No
2013,H0151,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,Yes,No
2013,H0154,MA-PD,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare,UAB Health System,3,Yes,No
2013,H0248,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,No,No
2013,H0251,MA-PD,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2.5,Yes,No
2013,H0294,MA-PD,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",Not enough data available,Yes,No
2013,H0302,MA-PD,Local CCP,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,"Veritage, LLC",4.5,No,No
2013,H0303,MA-PD,Local CCP,"PACIFICARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,Yes,No
2013,H0307,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3.5,No,No
2013,H0316,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,No,No
2013,H0317,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,No,No
2013,H0318,MA-PD,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3.5,No,No
2013,H0319,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,Yes,No
2013,H0320,MA-PD,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",3,No,No
2013,H0321,MA-PD,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2.5,Yes,No
2013,H0332,MA-PD,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",4,No,No
2013,H0351,MA-PD,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",3.5,Yes,No
2013,H0354,MA-PD,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna HealthCare of Arizona,CIGNA,4,Yes,No
2013,H0401,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ARKANSAS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,No,No
2013,H0408,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,Yes,No
